584                     N5
2005 -2.68785 4.13031
2116 1.01199 2.41466
2010 6.57621 1.82969
2122 -7.41239 1.48033
2026 -8.74627 1.16737
2102 -1.21315 0.761715
2095 -4.40588 0.682177
2082 2.8826 0.342168
2090 -7.73631 -1.02917
2029 -0.241922 -1.87525
2120 4.01628 -2.15831
2001 8.10098 -2.66533
2024 -10.8124 -3.16686
2031 -6.81712 -3.58156
2085 -4.46622 -4.22476
2088 5.42792 -4.59616
2100 -11.2952 -5.28121
2080 -1.73047 -6.19305
2069 9.63058 -6.73309
2027 -9.65141 -7.20422
2020 1.81909 -7.51629
-99
597
2002 -5.38909 7.20179
2107 -7.86352 6.93235
2089 -3.82526 5.58026
2112 -1.77479 4.44091
2119 0.394264 4.40376
2008 -8.42537 4.29287
2016 -1.5378 3.33532
2021 5.93337 3.26363
2122 -4.5865 2.72629
2087 3.53962 2.47137
2005 -0.2021 2.02769
2024 -9.04916 1.82971
2123 5.10368 1.58531
2090 -6.11003 1.52785
2076 11.1993 1.23645
2110 2.88055 1.04383
2100 -10.4591 0.786615
2095 -3.24996 0.673295
2064 7.39085 0.268975
2031 -6.98121 -0.547605
2102 -1.15631 -0.899231
2116 1.16956 -1.07868
2108 4.57435 -1.13301
2027 -10.6187 -1.26322
2103 6.95501 -1.83506
2085 -5.94883 -2.28869
2029 -2.02698 -3.11311
2082 1.20156 -3.4611
2079 7.99614 -3.51489
2023 -9.86026 -3.82677
2010 4.46736 -4.61407
2080 -5.41941 -5.00685
2117 -9.81222 -5.06383
2120 0.514378 -5.73624
2074 9.86353 -5.88566
2104 -7.63248 -6.42881
-99
575
2014 0.666954 4.46803
2046 -2.99102 3.55903
2015 -8.33015 3.32752
2107 5.73564 2.81421
2008 2.9447 1.92006
2125 -6.87429 1.3581
2024 0.393335 1.18951
2027 -2.9296 0.958324
2002 7.33094 0.720004
2007 -9.02008 0.374727
2023 -4.82362 -0.913542
2127 -10.1465 -1.10997
2026 3.43301 -1.43649
2117 -5.81883 -1.54621
2090 1.39368 -1.64903
2089 6.52687 -1.69703
